DWA_ID,DWA_Title,step_order,action_description,key_challenge,mapped_stage,cognitive_or_physical,K7_macro,label_MPNet,conf_MPNet,label_BGE,conf_BGE,agree,human_label,human_notes
4.A.3.b.6.I02.D04,Record information about suspects or criminals.,3,"Enter the suspect's personal details (name, date of birth, etc.) into the database.",Data entry accuracy and completeness,Manipulation_Execution,Physical,M4,LLM,0.722,Human_Bound,0.3946,False,LLM,
4.A.1.a.2.I11.D09,Evaluate construction projects to determine compliance with external standards or regulations.,5,"Document observations, take photographs, and note specific locations and codes violated during the inspection.",Accurately recording and organizing inspection findings.,Feedback_Verification,Physical,mixed_dwa,LLM,0.6749,Multimodal_Perception,0.5707,False,Multimodal_Perception,
4.A.2.a.3.I03.D04,Review customer insurance information.,1,"Receive customer insurance information request (e.g., via phone call, online portal).",Ensuring clear understanding of the customer's specific information needs.,Intent_Communication,Cognitive,M6,LLM,0.8878,Human_Bound,0.6103,False,Human_Bound,
4.A.2.b.6.I01.D01,Plan special events.,4,"Negotiate contract terms with the chosen venue, including rental fees, catering options, and technical specifications.",Securing favorable terms while ensuring all event needs are met.,Intent_Communication,Cognitive,M6,LLM,0.7143,Human_Bound,0.4592,False,Human_Bound,
4.A.4.b.3.I02.D09,Instruct college students in physical or life sciences.,6,"Address student questions, clarifying concepts and providing additional examples.",,Feedback_Verification,Cognitive,M6,LLM,0.8525,Human_Bound,0.4892,False,LLM,
4.A.4.b.5.I02.D02,Visit individuals in their homes to provide support or information.,4,"Greet the client, introduce yourself, and explain the purpose of the visit.",Establishing rapport and trust with the client.,Intent_Communication,Cognitive,M6,LLM,0.4881,Human_Bound,0.7754,False,Human_Bound,
4.A.4.b.4.I12.D22,Manage food service operations or parts of operations.,6,"Resolve customer complaints or concerns promptly and professionally, finding solutions that maintain customer satisfaction.","Empathy, active listening, and problem-solving skills.",Feedback_Verification,Cognitive,M2,LLM,0.9344,Human_Bound,0.4293,False,Human_Bound,
4.A.3.a.1.I07.D02,Prepare surfaces for finishing.,1,"Inspect the surface for dust, imperfections, dents, or scratches.",Accurate identification of flaws,Perception_Diagnosis,Cognitive,M2,Multimodal_Perception,0.9992,Multimodal_Perception,0.8813,True,Multimodal_Perception,
4.A.4.b.4.I12.D25,Direct maintenance and repair activities in green energy production facilities.,4,"Utilize specialized tools (e.g., handheld scanners, drones) to assess electrical output, performance metrics, and structural integrity.",Properly operating and interpreting diagnostic equipment.,Perception_Diagnosis,Physical,Noise,Multimodal_Perception,0.9542,Multimodal_Perception,0.6427,True,Multimodal_Perception,
4.A.1.b.2.I04.D03,Inspect vehicles to determine overall condition.,5,"Inspect the undercarriage for leaks, corrosion, and damage from previous accidents.",Accessing and clearly viewing the undercarriage,Perception_Diagnosis,Physical,M4,Multimodal_Perception,0.9969,Multimodal_Perception,0.8424,True,Multimodal_Perception,
4.A.1.a.1.I15.D01,Observe individuals' activities to gather information or compile evidence.,2,"Position oneself strategically for observation, considering visibility, concealment, and safety.",Balancing unobtrusive observation with a clear view of the target.,Navigation_Addressing,Physical,Noise,Multimodal_Perception,0.4188,Multimodal_Perception,0.4694,True,Multimodal_Perception,
4.A.3.b.4.I09.D02,Maintain medical laboratory equipment.,4,"Visually inspect the equipment for any signs of wear, damage, or malfunction.",Identifying subtle visual cues that indicate potential issues,Perception_Diagnosis,Cognitive,M4,Multimodal_Perception,0.9998,Multimodal_Perception,0.9656,True,Multimodal_Perception,
4.A.2.a.4.I12.D03,Interpret design or operational test results.,4,"Compare the test results against the expected values and industry standards, identifying any deviations.",Accurately interpreting data and recognizing anomalies.,Perception_Diagnosis,Cognitive,M4,Multimodal_Perception,0.9313,Multimodal_Perception,0.6996,True,Multimodal_Perception,
4.A.1.b.2.I10.D07,Examine condition of property or products.,2,Approach the property/conveyor belt and prepare for inspection.,Efficiently navigating the environment while maintaining safety.,Navigation_Addressing,Physical,M4,Multimodal_Perception,0.857,Multimodal_Perception,0.599,True,Multimodal_Perception,
4.A.4.a.3.I02.D05,Provide technical information or assistance to public.,3,"Based on the provided information, diagnose the potential cause(s) of the technical issue.",Accurately analyzing the problem and differentiating between various possibilities.,Perception_Diagnosis,Cognitive,Noise,Multimodal_Perception,0.7914,Multimodal_Perception,0.4463,True,Multimodal_Perception,
4.A.4.b.4.I12.D30,Direct passenger or freight transport activities.,3,Inspect the shipment for visible damage or discrepancies compared to the manifest.,Accurate visual assessment and problem identification.,Perception_Diagnosis,Cognitive,M1,Multimodal_Perception,0.8404,Multimodal_Perception,0.6931,True,Multimodal_Perception,
4.A.3.a.2.I34.D03,Connect hoses to equipment or piping.,5,Inspect connections for leaks using a pressure test or visual inspection.,Detecting subtle signs of leakage and ensuring system integrity.,Feedback_Verification,Cognitive,Noise,Multimodal_Perception,0.9991,Multimodal_Perception,0.8619,True,Multimodal_Perception,
4.A.3.a.2.I07.D04,Reshape small metal components for precision assembly.,3,Inspect the metal components for any initial deformities or irregularities.,Identifying subtle defects that may impact reshaping.,Perception_Diagnosis,Cognitive,Noise,Multimodal_Perception,0.9997,Multimodal_Perception,0.9138,True,Multimodal_Perception,
4.A.3.a.3.I03.D03,Operate mining equipment.,5,"Use the excavator's controls to dig into the coal seam, monitoring depth and force to avoid damage.",Coordinating hand-eye movements for precise digging and material handling.,Manipulation_Execution,Physical,Noise,Multimodal_Perception,0.6045,Multimodal_Perception,0.7344,True,Embodied,"改判:操作挖掘机控制杆挖掘=物理操作机械,属Embodied"
4.A.1.b.2.I07.D02,Inspect safety equipment to ensure proper functioning.,1,Review the safety equipment inventory or map to determine the equipment types and locations to be inspected.,Ensuring the inventory is up-to-date and accurate.,Intent_Communication,Cognitive,mixed_dwa,Multimodal_Perception,0.9673,Multimodal_Perception,0.4904,True,Multimodal_Perception,
4.A.1.b.2.I12.D04,Test performance of aircraft equipment.,4,"Connect the appropriate test equipment (e.g., hydraulic test rig, diagnostic tool) to the equipment, following the manual's diagrams and ensuring secure attachment.","Precise handling of tools and connectors, avoiding damage to delicate components.",Manipulation_Execution,Physical,Noise,Multimodal_Perception,0.8021,Multimodal_Perception,0.415,True,Multimodal_Perception,
4.A.3.a.2.I27.D02,Fabricate parts or components.,5,"Execute the fabrication process, monitoring the machine for any anomalies.",Balancing automated processes with human oversight for quality control.,Manipulation_Execution,Cognitive & Physical,mixed_dwa,Multimodal_Perception,0.9822,Multimodal_Perception,0.77,True,Multimodal_Perception,
4.A.3.a.2.I09.D06,Calibrate equipment to specifications.,4,Allow the equipment to warm up (if necessary) to ensure stable readings.,Determining appropriate warm-up time based on equipment type.,Navigation_Addressing,Physical,M4,Multimodal_Perception,0.991,Multimodal_Perception,0.7305,True,Multimodal_Perception,
4.A.1.b.2.I07.D19,Inspect communications or broadcasting equipment.,4,Check the tightness of connections between antenna elements and cables.,Accessing tight spaces and applying appropriate force,Manipulation_Execution,Physical,M4,Multimodal_Perception,0.8718,Multimodal_Perception,0.7334,True,Multimodal_Perception,
4.A.3.a.3.I12.D04,Operate textile cutting or production equipment.,6,Inspect the cut fabric pieces for any defects or inconsistencies.,Identifying subtle defects and ensuring adherence to quality standards.,Feedback_Verification,Cognitive,M2,Multimodal_Perception,0.9902,Multimodal_Perception,0.7884,True,Multimodal_Perception,
4.A.3.a.2.I33.D09,Apply sealants or other protective coatings.,1,"Inspect the surface (deck, window frame, etc.) for debris, damage, and identify areas needing sealant.",Accurate assessment of surface condition,Perception_Diagnosis,Cognitive,M2,Multimodal_Perception,0.9415,Multimodal_Perception,0.6962,True,Multimodal_Perception,
4.A.3.a.2.I35.D06,Rivet metal components.,9,Conduct a final visual and tactile inspection of all rivets to ensure they meet required standards.,Thoroughly inspect all rivets for quality.,Feedback_Verification,Cognitive,M2,Multimodal_Perception,0.9377,Multimodal_Perception,0.6594,True,Multimodal_Perception,
4.A.1.a.2.I01.D12,Monitor video displays of medical equipment to ensure proper functioning.,6,The technician continues to monitor the video displays and respond to any further issues or alerts that may arise.,Maintaining vigilance and responsiveness to ongoing issues,Perception_Diagnosis,Cognitive,M4,Multimodal_Perception,0.7639,Multimodal_Perception,0.7725,True,Multimodal_Perception,
4.A.3.a.2.I39.D03,"Fill cracks, imperfections, or holes in products or workpieces.",8,"Inspect the filled area to ensure it is smooth and even, and make any necessary adjustments.",Identify and address any imperfections or air bubbles in the filled area.,Perception_Diagnosis,Cognitive,M2,Multimodal_Perception,0.7724,Multimodal_Perception,0.6567,True,Multimodal_Perception,
4.A.3.a.3.I06.D03,Operate recycling equipment.,2,Review the operational manual and any recent maintenance logs for the recycling equipment.,Comprehending technical documentation and identifying potential issues.,Intent_Communication,Cognitive,M4,Multimodal_Perception,0.9571,Multimodal_Perception,0.4707,True,LLM,"改判:阅读操作手册/维护日志=读文本,属LLM"
4.A.1.a.2.I02.D01,Monitor industrial energy consumption or management.,3,Investigate production lines or machinery exhibiting high energy consumption or anomalies.,Efficiently navigating complex industrial environments,Navigation_Addressing,Physical,M7,Multimodal_Perception,0.9494,Multimodal_Perception,0.7232,True,Multimodal_Perception,
4.A.1.b.2.I12.D02,"Test performance of electrical, electronic, mechanical, or integrated systems or equipment.",4,Initiate the test sequence and monitor the system's performance data.,Accurately interpreting real-time performance data,Perception_Diagnosis,Cognitive,M4,Multimodal_Perception,0.7486,Multimodal_Perception,0.574,True,Multimodal_Perception,
4.A.3.a.2.I09.D12,Adjust equipment controls to regulate coolant flow.,1,Locate the coolant control panel on the machine.,Panel location may vary between machine models.,Navigation_Addressing,Physical,M4,Multimodal_Perception,0.9145,Multimodal_Perception,0.5422,True,Multimodal_Perception,
4.A.4.a.2.I03.D12,Communicate with coworkers to coordinate installations or repairs.,7,Conduct a final inspection of the completed installation to ensure all components are functioning correctly and meet quality standards.,Attention to detail and adherence to quality standards.,Feedback_Verification,Physical,Noise,Multimodal_Perception,0.5092,Multimodal_Perception,0.5922,True,Multimodal_Perception,
4.A.3.b.6.I15.D03,Prepare accident or incident reports.,3,"Document the scene through photographs and videos, capturing relevant details like damage, hazards, and positions.",Ensuring comprehensive visual documentation while maintaining scene integrity.,Perception_Diagnosis,Physical,M4,Multimodal_Perception,0.5258,Multimodal_Perception,0.5167,True,Multimodal_Perception,
4.A.2.a.1.I07.D07,Evaluate characteristics of equipment or systems.,3,Visually inspect the equipment or system for any obvious issues or damage.,Identifying subtle visual cues that may indicate problems.,Perception_Diagnosis,Physical,M4,Multimodal_Perception,0.9995,Multimodal_Perception,0.9499,True,Multimodal_Perception,
4.A.3.a.2.I03.D09,Prepare breads or doughs.,2,Measure ingredients accurately using scales and measuring cups.,Precision in measurement to ensure consistent results.,Perception_Diagnosis,Physical,M2,Multimodal_Perception,0.9477,Multimodal_Perception,0.4874,True,Multimodal_Perception,
4.A.3.b.4.I06.D05,"Repair worn, damaged, or defective mechanical parts.",9,"Document the repair process, including the damaged part, repair method, and any observations.",Creating clear and concise documentation,Intent_Communication,Cognitive,Noise,Multimodal_Perception,0.887,LLM,0.6117,False,LLM,
4.A.3.a.2.I09.D07,Adjust temperature controls of ovens or other heating equipment.,1,Identify the required temperature for the baking task from the recipe or instructions.,Ensuring accurate temperature retrieval,Intent_Communication,Cognitive,M4,Multimodal_Perception,0.4625,LLM,0.451,False,LLM,
4.A.4.b.4.I10.D02,Direct construction or extraction personnel.,4,"Position equipment (e.g., excavators, cranes) and ensure it is functioning correctly and safely positioned.",Coordinating equipment movement and ensuring safe operating conditions.,Manipulation_Execution,Physical,Noise,Multimodal_Perception,0.686,Embodied,0.4735,False,Embodied,
4.A.2.a.2.I05.D01,Examine personal documentation to ensure that it is valid.,7,Verify the expiration date on each document to ensure it is still valid.,Ensure all documents are within their valid date range.,Perception_Diagnosis,Cognitive,mixed_dwa,Multimodal_Perception,0.6876,LLM,0.4987,False,LLM,
4.A.4.b.3.I06.D04,Teach medical procedures or medical equipment use to patients.,2,Assess the patient's current understanding and knowledge regarding the medical procedure or equipment use.,,Intent_Communication,Cognitive,M6,Multimodal_Perception,0.4934,Human_Bound,0.424,False,Human_Bound,
4.A.2.a.2.I01.D02,Verify information or specifications.,4,"Verify the physical dimensions, operational parameters, or other specified criteria using appropriate tools and techniques.",Accurate measurement and data collection.,Manipulation_Execution,Physical,Noise,Multimodal_Perception,0.9343,LLM,0.5254,False,Multimodal_Perception,
4.A.1.a.1.I02.D06,Study blueprints or other instructions to determine equipment setup requirements.,3,"Study assembly instructions to understand setup sequence, required tools, and safety considerations.",Comprehending complex technical instructions,Perception_Diagnosis,Cognitive,Noise,Multimodal_Perception,0.6492,LLM,0.3783,False,LLM,
4.A.3.a.2.I04.D08,Install machine or equipment replacement parts.,5,"Remove the old part, noting connections and configurations.",Precise disassembly and documentation,Manipulation_Execution,Physical,Noise,Multimodal_Perception,0.792,LLM,0.3674,False,Embodied,"两encoder均未选对:拆卸旧零件=物理操作,选Embodied"
4.A.1.b.3.I01.D03,Measure physical or chemical properties of materials or objects.,4,Securely position the sample within the equipment according to the required setup.,Precise sample placement for accurate results.,Manipulation_Execution,Physical,Noise,Embodied,0.721,Embodied,0.501,True,Embodied,
4.A.3.a.1.I07.D04,Shovel materials.,7,Repeat steps 2-6 until the desired amount of material is moved.,Monitoring progress and adjusting pace as needed.,Feedback_Verification,Cognitive,Noise,Embodied,0.9754,Embodied,0.634,True,Embodied,
4.A.3.b.4.I09.D02,Maintain medical laboratory equipment.,3,Power down the equipment and disconnect it from power sources and networks.,Properly isolating the equipment to prevent electrical hazards,Manipulation_Execution,Physical,M4,Embodied,0.5198,Embodied,0.403,True,Embodied,
4.A.3.a.2.I45.D03,Apply decorative or textured finishes or coverings.,5,"Apply the finishing material to the surface using the appropriate technique (spraying, troweling, brushing) and tools.",Consistent application and achieving desired texture,Manipulation_Execution,Physical,M2,Embodied,0.8732,Embodied,0.5989,True,Embodied,
4.A.3.a.3.I11.D02,Operate forestry equipment.,8,Deposit the trees at the collection point and prepare for the next felling cycle.,Preparing for the next cycle,Manipulation_Execution,physical,Noise,Embodied,0.9736,Embodied,0.6102,True,Embodied,
4.A.3.a.2.I42.D02,Package products for storage or shipment.,5,"Wrap or protect each product with the prepared packaging materials, ensuring all components are covered and secure.",Adequate protection of products.,Manipulation_Execution,Physical with Cognitive Judgment,M1,Embodied,0.7877,Embodied,0.5383,True,Embodied,
4.A.3.a.3.I12.D03,Operate woodworking equipment.,7,Assemble the cut pieces using appropriate joinery techniques and fasteners.,Precise alignment and secure fastening,Manipulation_Execution,Physical,Noise,Embodied,0.989,Embodied,0.6568,True,Embodied,
4.A.3.a.1.I06.D02,Load materials into equipment for processing.,4,"Open the equipment's loading mechanism (e.g., hopper lid) and position the material container over the opening.",Properly positioning the material container,Manipulation_Execution,Physical,Noise,Embodied,0.9969,Embodied,0.7602,True,Embodied,
4.A.3.a.2.I29.D03,Process animal carcasses.,5,"Cut the carcass into primal cuts (e.g., chuck, rib, loin) using appropriate tools.",Accurate and efficient butchering techniques for standardized cuts.,Manipulation_Execution,Physical,Noise,Embodied,0.944,Embodied,0.7212,True,Embodied,
4.A.3.a.1.I07.D05,"Spread sand, dirt or other loose materials onto surfaces.",7,Smooth the surface using a rake or other appropriate tool.,Achieving a uniform and level surface texture.,Manipulation_Execution,Physical,M2,Embodied,0.9734,Embodied,0.5552,True,Embodied,
4.A.4.c.3.I01.D04,Maintain supply or equipment inventories.,3,Navigate to the assigned inventory zone.,Efficient and safe movement within the warehouse,Navigation_Addressing,Physical,M1,Embodied,0.9031,Embodied,0.6206,True,Embodied,
4.A.4.b.3.I06.D03,Teach physical education.,2,"The teacher demonstrates the proper technique for dribbling a basketball, emphasizing hand position and ball control.","Clear, concise demonstration for diverse learning styles",Manipulation_Execution,Physical,M6,Embodied,0.3954,Embodied,0.5294,True,Embodied,
4.A.3.a.1.I11.D13,Maintain safety.,2,Don appropriate personal protective equipment (PPE) as specified in the protocols.,PPE must be correctly fitted and functional.,Navigation_Addressing,Physical,Noise,Embodied,0.8106,Embodied,0.491,True,Embodied,
4.A.3.a.1.I02.D01,Operate firefighting equipment.,1,"Don personal protective equipment (PPE) including helmet, gloves, and breathing apparatus.",Ensuring proper fit and functionality of all PPE components.,Navigation_Addressing,Physical,M4,Embodied,0.7115,Embodied,0.4794,True,Embodied,
4.A.3.a.2.I34.D04,Lay cables to connect equipment.,8,"Connect the cable to the equipment ports at both the starting point and endpoint, ensuring the correct ports and cable types.",Connecting the cable to equipment,Manipulation_Execution,Physical,Noise,Embodied,0.4879,Embodied,0.5131,True,Embodied,
4.A.3.a.2.I41.D05,Mark reference points on construction materials.,4,"Using a straight edge and marker, draw lines from the starting point to mark the required reference points according to the plans.",Maintaining straight lines and accuracy,Manipulation_Execution,Physical,Noise,Embodied,0.7994,Embodied,0.5135,True,Embodied,
4.A.3.a.1.I03.D07,Clean patient rooms or patient treatment rooms.,5,Empty trash receptacles and replace liners.,Maintaining hygiene standards during waste removal.,Manipulation_Execution,Physical,M2,Embodied,0.8398,Embodied,0.5373,True,Embodied,
4.A.2.a.2.I02.D03,Sort recyclable materials.,6,Repeat steps 2-5 for the next item on the conveyor belt.,Maintaining focus and accuracy throughout the sorting process.,Manipulation_Execution,cognitive,M1,Embodied,0.8953,Embodied,0.5574,True,Embodied,
4.A.3.a.3.I03.D04,Operate excavation equipment.,6,"Once the required depth is reached, switch to backfilling to ensure a flat and compacted trench bottom.",Proper compaction and leveling of the trench bottom.,Manipulation_Execution,Physical,Noise,Embodied,0.8258,Embodied,0.5168,True,Embodied,
4.A.3.a.1.I02.D03,Perform forest firefighting activities.,10,"Demobilize according to incident commander's instructions, ensuring equipment is secured and the area is safe.",Following procedures while transitioning from high-intensity activity.,Navigation_Addressing,Cognitive & Physical,M4,Embodied,0.8642,Embodied,0.4033,True,Embodied,
4.A.3.a.2.I14.D01,Cut trees or logs.,3,"Position the chainsaw at the designated felling notch, ensuring proper stance and grip.",Maintaining proper stance and grip,Navigation_Addressing,Physical,Noise,Embodied,0.8899,Embodied,0.6771,True,Embodied,
4.A.3.a.1.I03.D24,Remove snow.,4,"Begin snow removal, using a systematic pattern to ensure complete coverage.",Maintaining consistent technique to avoid strain and ensure thoroughness.,Manipulation_Execution,Physical,M2,Embodied,0.6935,Embodied,0.4259,True,Embodied,
4.A.1.a.2.I02.D10,Track goods or materials.,6,Move the shipment to its designated storage location.,Safe and efficient material handling techniques,Navigation_Addressing,Physical,M1,Embodied,0.9975,Embodied,0.914,True,Embodied,
4.A.4.a.5.I04.D03,Perform animal breeding procedures.,3,"Safely restrain the cow in a stanchion or chute, minimizing stress and ensuring worker safety.",Animal handling techniques and safety protocols,Manipulation_Execution,Physical,Noise,Embodied,0.6731,Embodied,0.6182,True,Embodied,
4.A.3.a.1.I03.D13,Clean work sites.,7,Dispose of trash and debris in designated bins.,Properly disposing of waste,Manipulation_Execution,Physical,M2,Embodied,0.7828,Embodied,0.7189,True,Embodied,
4.A.3.a.4.I01.D04,Follow safety procedures for vehicle operation.,8,"Turn off the engine, remove keys, and ensure all personal belongings are collected before exiting.",Developing a routine to prevent forgetting items.,Manipulation_Execution,Physical,M1,Embodied,0.9258,Embodied,0.4732,True,Embodied,
4.A.4.a.5.I11.D08,Maintain sterile operative fields.,3,Set up sterile drapes around the surgical site to create a sterile field.,Proper placement of drapes to maintain sterility.,Manipulation_Execution,Physical,M6,Embodied,0.6466,Embodied,0.5119,True,Embodied,
4.A.3.a.1.I06.D04,Place materials into molds.,4,"Carefully pour the prepared material into the mold, ensuring even distribution and minimizing air bubbles.",Controlling the pouring speed and angle to prevent spills or uneven filling.,Manipulation_Execution,Physical,M2,Embodied,0.9294,Embodied,0.6947,True,Embodied,
