action_description,label_MPNet,label_BGE,agree,human_label,human_notes,correct_MPNet,correct_BGE
Position the workpiece on a flat surface to ensure even application.,Embodied,Embodied,True,Embodied,,True,True
"Repeat steps 3-5 for each subsequent outfit, ensuring a smooth transition between looks.",Embodied,Embodied,True,Embodied,,True,True
"Strip insulation from the wire ends, exposing the conductive core for connection.",Embodied,Multimodal_Perception,False,Embodied,,True,False
Sign and date the bill of lading and customs declaration form to confirm verification.,Embodied,LLM,False,Human_Bound,"在海关/提单上签字确认=法律担责行为,需人类签署,选Human_Bound",False,False
Complete any necessary documentation or electronic logging to record the sample delivery.,Embodied,LLM,False,LLM,,False,True
"Monitor the movement of the first group of vehicles, ensuring they proceed safely through the intersection.",Embodied,Multimodal_Perception,False,Multimodal_Perception,,False,True
Confirm receipt and address any questions or concerns from the recipient.,Embodied,Human_Bound,False,Human_Bound,,False,True
"Update the quantity, location, and condition of each item in the inventory system.",Embodied,LLM,False,LLM,,False,True
Prepare the treatment solution according to the manufacturer's instructions and the client's hair type.,Embodied,Human_Bound,False,Embodied,,True,False
Greet the patron and inquire about their research topic or specific document needs.,Human_Bound,Human_Bound,True,Human_Bound,,True,True
Obtain verbal consent from the individual for the search.,Human_Bound,Human_Bound,True,Human_Bound,,True,True
"Access the team's communication platform (e.g., Slack, Microsoft Teams) and navigate to the relevant channel or direct message.",Human_Bound,Human_Bound,True,Human_Bound,,True,True
Wish the patient a pleasant day and direct them to the waiting area or next available staff member.,Human_Bound,Human_Bound,True,Human_Bound,,True,True
The bus driver greets the passenger and clearly states the fare amount.,Human_Bound,Human_Bound,True,Human_Bound,,True,True
Escort the patient to the soundproof booth and ensure comfortable seating.,Human_Bound,Human_Bound,True,Human_Bound,,True,True
Update the customer's account status to reflect the payment.,Human_Bound,Human_Bound,True,Human_Bound,,True,True
"The financial advisor drafts the loan agreement, incorporating the agreed-upon terms and conditions.",Human_Bound,Human_Bound,True,Human_Bound,,True,True
"Greet the client, confirm appointment details, and inquire about specific pain points, desired pressure, and any areas to avoid.",Human_Bound,Human_Bound,True,Human_Bound,,True,True
Thank the customer for their patience and end the call/email professionally.,Human_Bound,Human_Bound,True,Human_Bound,,True,True
"Contact relevant authorities, affected parties, or news sources for official confirmation and additional details.",Human_Bound,Human_Bound,True,Human_Bound,,True,True
"Consult with the patient to understand their needs, limitations, and desired functionality.",Human_Bound,Human_Bound,True,Human_Bound,,True,True
"Conduct a brief safety huddle with the team, addressing any concerns or changes in protocols and ensuring proper PPE usage.",Human_Bound,Human_Bound,True,Human_Bound,,True,True
Position the patient in the dental chair and adjust lighting for optimal visibility.,Human_Bound,Human_Bound,True,Human_Bound,,True,True
Discreetly address any observed violations by approaching the student and reminding them of the relevant policy.,Human_Bound,Human_Bound,True,Human_Bound,,True,True
"Seek clarification or assistance when encountering difficulties: online forums, mentors, peers.",Human_Bound,Human_Bound,True,Human_Bound,,True,True
"Guide the patient through initial practice, providing hands-on assistance and verbal cues as needed.",Human_Bound,Human_Bound,True,Human_Bound,,True,True
Help the client choose one concrete action step they can take to address their interpersonal issue.,Human_Bound,Human_Bound,True,Human_Bound,,True,True
"Provide a clear and concise overview of the relevant legal issues, avoiding jargon.",Human_Bound,Human_Bound,True,Human_Bound,,True,True
Teach and practice a specific coping skill or relaxation technique with the client.,Human_Bound,Human_Bound,True,Human_Bound,,True,True
Deliver an electrical shock if advised by the AED.,Human_Bound,Human_Bound,True,Human_Bound,,True,True
"Discuss and agree upon potential treatment goals, considering the client's input and preferences.",Human_Bound,Human_Bound,True,Human_Bound,,True,True
Confirm with the customer that their issue is resolved and they are satisfied with the outcome.,Human_Bound,Human_Bound,True,Human_Bound,,True,True
"If applicable, the tuner consults with the performer, playing specific passages and adjusting the tuning based on their feedback.",Human_Bound,Human_Bound,True,Human_Bound,,True,True
"Collaboratively set realistic and achievable goals with the patient, outlining specific action steps.",Human_Bound,Human_Bound,True,Human_Bound,,True,True
"Assist the client in taking their medications, ensuring the correct dosage and timing.",Human_Bound,Human_Bound,True,Human_Bound,,True,True
"After the proceedings, debrief with the client, explaining the outcome, next steps, and addressing any questions.",Human_Bound,Human_Bound,True,Human_Bound,,True,True
"Actively listen to the client's situation, concerns, and desired outcomes.",Human_Bound,Human_Bound,True,Human_Bound,,True,True
"The physical therapist summarizes the session's progress, sets goals for the next session, and answers any patient questions.",Human_Bound,Human_Bound,True,Human_Bound,,True,True
Collaboratively brainstorm and discuss potential coping mechanisms tailored to the client's needs.,Human_Bound,Human_Bound,True,Human_Bound,,True,True
"The student practices the skill independently, applying the teacher's guidance and feedback.",Human_Bound,Embodied,False,Human_Bound,,True,False
Document the agreed-upon changes to the treatment plan.,Human_Bound,LLM,False,LLM,,False,True
"If necessary, provide relevant financial documents or forms for the client to review and complete.",Human_Bound,LLM,False,LLM,,False,True
"Document the prescription, including the patient's name, device type, specific instructions, and any follow-up plans.",Human_Bound,LLM,False,LLM,,False,True
"Identify the specific services and resources the client needs (e.g., food assistance, healthcare, childcare).",Human_Bound,LLM,False,Human_Bound,,True,False
Save the report in the appropriate format and share it with the intended recipient(s).,Human_Bound,LLM,False,LLM,,False,True
"Maintain the sterile field throughout the entire surgical procedure, ensuring all actions comply with sterility protocols.",Human_Bound,Embodied,False,Embodied,,False,True
